Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
DST,Saints ,2700,Final,4,NO
DST,Eagles ,2700,Final,6.5,Phi
DST,49ers ,2700,Final,5,SF
TE,Scott Chandler,2700,Final,6.2,NE
TE,Lance Kendricks,2700,Final,7.35,StL
DST,Bears ,2600,Final,-0.5,Chi
DST,Jaguars ,2600,Final,5,Jax
TE,Chase Coffman,2600,Final,8.2,Ten
TE,Gavin Escobar,2600,Final,5.7,Dal
DST,Buccaneers ,2500,Final,6.5,TB
TE,Mike Leach,2500,Final,0,Ari
TE,Craig Stevens,2500,Final,1.15,Ten
TE,Marcedes Lewis,2500,Final,0,Jax
TE,Matt Spaeth,2500,Final,0,Pit
TE,Clark Harris,2500,Final,0,Cin
TE,Brent Celek,2500,Final,0.8,Phi
TE,Zach Miller,2500,Final,1.7,Chi
TE,Brandon Pettigrew,2500,In Progress,0,Det
TE,Kellen Davis,2500,Final,0,NYJ
TE,Brandon Myers,2500,Final,0,TB
TE,Darren Fells,2500,Final,9.1,Ari
TE,Gary Barnidge,2500,Final,4.75,Cle
TE,Clay Harbor,2500,Final,0,Jax
TE,Ed Dickson,2500,Final,0.95,Car
TE,Garrett Graham,2500,Final,3.85,Hou
TE,Andrew DePaola,2500,Final,0,TB
TE,Richie Brockel,2500,Final,0,Car
TE,Jim Dray,2500,Final,1.15,Cle
TE,Virgil Green,2500,In Progress,4.6,Den
TE,John Phillips,2500,Final,0,SD
TE,Rob Housler,2500,Final,0,Cle
TE,Kyle Nelson,2500,Final,0,SF
TE,Matthew Mulligan,2500,Final,0.6,Buf
TE,Jermaine Gresham,2500,Final,1.45,Ari
TE,Jeff Cumberland,2500,Final,0,NYJ
TE,Michael Hoomanawanui,2500,Final,0,NE
TE,Lee Smith,2500,Final,0.8,Oak
TE,Luke Stocker,2500,Final,0,TB
TE,Andrew Quarless,2500,KC@GB 08:30PM ET,0,GB
TE,James Casey,2500,In Progress,0,Den
TE,Rhett Ellison,2500,Final,0.65,Min
TE,Garrett Celek,2500,Final,5,SF
TE,James Hanna,2500,Final,0,Dal
TE,Jake Stoneburner,2500,Final,9.8,Mia
TE,Mychal Rivera,2500,Final,2.95,Oak
TE,Cory Harkey,2500,Final,0,StL
TE,Beau Brinkley,2500,Final,0,Ten
TE,Kevin McDermott,2500,Final,0,Min
TE,MarQueis Gray,2500,Final,0,Buf
TE,Tim Wright,2500,In Progress,0,Det
TE,Michael Williams,2500,Final,1.25,NE
TE,Chris Gragg,2500,Final,0,Buf
TE,Luke Willson,2500,Final,2.8,Sea
TE,Josh Hill,2500,Final,0.6,NO
TE,James Winchester,2500,KC@GB 08:30PM ET,0,KC
TE,Jack Doyle,2500,Final,0,Ind
TE,Vance McDonald,2500,Final,0.75,SF
TE,Ryan Hewitt,2500,Final,0,Cin
TE,Levine Toilolo,2500,Final,0.7,Atl
TE,Dion Sims,2500,Final,0,Mia
TE,Nic Jacobs,2500,Final,0,Jax
TE,Brandon Williams,2500,Final,0,Car
TE,Cooper Helfet,2500,Final,0,Sea
TE,Trey Burton,2500,Final,0,Phi
TE,Blake Bell,2500,Final,1.05,SF
TE,James O'Shaughnessy,2500,KC@GB 08:30PM ET,3.7,KC
TE,MyCole Pruitt,2500,Final,0,Min
TE,Chase Ford,2500,Final,0,Min
TE,Clive Walford,2500,Final,1.25,Oak
TE,C.J. Fiedorowicz,2500,Final,2.7,Hou
TE,Brian Parker,2500,KC@GB 08:30PM ET,0,KC
TE,Tyler Kroft,2500,Final,0,Cin
TE,C.J. Uzomah,2500,Final,0,Cin
TE,Demetrius Harris,2500,KC@GB 08:30PM ET,0,KC
TE,Mitchell Henry,2500,In Progress,0,Den
TE,Richard Rodgers,2500,KC@GB 08:30PM ET,10.05,GB
TE,Nick Boyle,2500,Final,0,Bal
TE,Kennard Backman,2500,KC@GB 08:30PM ET,0,GB
TE,Troy Niklas,2500,Final,0,Ari
TE,Phillip Supernaw,2500,Final,0,Ten
TE,Maxx Williams,2500,Final,2.15,Bal
TE,Jesse James,2500,Final,0,Pit
TE,Geoff Swaim,2500,Final,1,Dal
TE,E.J. Bibbs,2500,Final,0,Cle
TE,Khari Lee,2500,Final,0,Chi
